#CODE;ENGLISH;x
acheson_speech.1.t;America’s Defensive Perimeter in Asia;x
acheson_speech.1.d;In a major address before the National Press Club, the Secretary of State has outlined the regions vital to American security in the Pacific. The speech reaffirmed commitments to Japan, the Philippines, and the island chain stretching through the Western Pacific.\nAt the same time, it avoided explicit reference to the Korean Peninsula.\nWhile the intent was to clarify America’s strategic priorities, foreign observers may draw their own conclusions from what was left unsaid.;x
acheson_speech.1.a;Our commitments must reflect reality.;x
acheson_speech.2.t;Washington Clarifies Its Priorities;x
acheson_speech.2.d;Observers around the world are analyzing a recent speech by the American Secretary of State outlining the United States’ defensive commitments in Asia.\nWhile Japan and the Philippines were explicitly named as falling within America’s security perimeter, the Korean Peninsula was conspicuously absent.\nWhether this omission reflects a deliberate shift in policy or mere diplomatic caution remains unclear. What is certain is that the balance of expectations in East Asia has changed.;x
acheson_speech.2.a;An absence speaks volumes.;x
worldcup_1950.1.t;The World Cup Returns;x
worldcup_1950.1.d;After a twelve-year absence caused by global war, the World Championship in football has begun in Brazil.\nTeams from around the world have gathered once more to compete, as international sport resumes its role as a symbol of recovery, unity, and peaceful rivalry.;x
worldcup_1950.1.a;The world returns to play.;x
worldcup_1950.2.t;Uruguay Triumphs in Rio;x
worldcup_1950.2.d;In a stunning and unexpected result, Uruguay has claimed the World Championship in football by defeating host nation Brazil in Rio de Janeiro.\nBefore a vast crowd at the Maracanã Stadium, the outcome defied expectations and sent shockwaves through the sporting world.\nThe match will be remembered as one of the greatest upsets in international sport.;x
worldcup_1950.2.a;Football remembers the unexpected.;x
nureyev_defection.1.t;A Dancer Chooses the West;x
nureyev_defection.1.d;During a tour in Paris, Soviet ballet star Rudolf Nureyev has refused to return to the Soviet Union and has instead sought asylum in the West.\nSoon after, he appeared on stage before Western audiences, dancing freely and without restraint.\nThe episode has attracted significant international attention, dealing an embarrassing blow to Soviet cultural prestige.;x
nureyev_defection.1.a;Freedom has its allure.;x
